id,name,value,include,date,time,datetime
69,mom,79.65495448,TRUE,2018-04-29,9:49,2/05/2018 9:49
70,celebration,93.62679926,TRUE,2018-05-06,11:00,9/05/2018 11:00
71,agreement,0.166005046,TRUE,2018-05-13,12:11,16/05/2018 12:11
72,airport,9.24887841,FALSE,2018-05-20,13:22,23/05/2018 13:22
73,personality,18.70215606,TRUE,2018-05-27,14:33,30/05/2018 14:33
74,media,68.00989587,FALSE,2018-06-03,15:44,6/06/2018 15:44
75,singer,78.97305175,TRUE,2018-06-10,16:55,13/06/2018 16:55
76,vehicle,77.57261865,FALSE,2018-06-17,18:06,20/06/2018 18:06
77,diamond,73.40135259,TRUE,2018-06-24,19:17,27/06/2018 19:17
78,village,0.350576725,FALSE,2018-07-01,20:28,4/07/2018 20:28
79,assignment,27.82265956,TRUE,2018-07-08,21:39,11/07/2018 21:39
80,power,77.41704445,TRUE,2018-07-15,22:50,18/07/2018 22:50
81,performance,74.44123909,FALSE,2018-07-22,0:01,26/07/2018 0:01
82,possession,51.88237494,FALSE,2018-07-29,1:12,2/08/2018 1:12
83,coffee,74.54248089,FALSE,2018-08-05,2:23,9/08/2018 2:23
84,currency,6.770236891,FALSE,2018-08-12,3:34,16/08/2018 3:34
85,product,82.57925836,FALSE,2018-08-19,4:45,23/08/2018 4:45
86,university,13.0323171,TRUE,2018-08-26,5:56,30/08/2018 5:56
87,information,59.32186468,FALSE,2018-09-02,7:07,6/09/2018 7:07
88,passion,38.84446342,TRUE,2018-09-09,8:18,13/09/2018 8:18
89,sympathy,35.66475122,FALSE,2018-09-16,9:29,20/09/2018 9:29
90,efficiency,79.58559607,FALSE,2018-09-23,10:40,27/09/2018 10:40
91,dirt,92.98042406,FALSE,2018-09-30,11:51,4/10/2018 11:51
92,assumption,58.37268864,FALSE,2018-10-07,13:02,11/10/2018 13:02
93,year,81.31476718,FALSE,2018-10-14,14:13,18/10/2018 14:13
94,city,9.240103002,FALSE,2018-10-21,15:24,25/10/2018 15:24
95,phone,84.32514751,FALSE,2018-10-28,16:35,1/11/2018 16:35
96,operation,52.16123138,TRUE,2018-11-04,17:46,8/11/2018 17:46
97,ability,94.78280207,FALSE,2018-11-11,18:57,15/11/2018 18:57
98,technology,29.88441251,TRUE,2018-11-18,20:08,22/11/2018 20:08
99,cancer,71.57811859,TRUE,2018-11-25,21:19,29/11/2018 21:19
